,player,round,score,strokes,thru
1,Webb Simpson,4,-6,34,10
2,Phil Mickelson,4,-5,67,18
3,Brian Harman,4,-3,69,18
4,Ian Poulter,4,-3,69,18
5,Charley Hoffman,4,-2,14,4
6,Hideki Matsuyama,4,-2,25,7
7,Paul Casey,4,-2,25,7
8,Branden Grace,4,-2,50,13
9,Tony Finau,4,-1,15,4
10,Russell Henley,4,-1,26,7
11,Adam Scott,4,-1,31,8
12,Bernhard Langer,4,-1,43,11
13,Rafael Cabrera-Bello,4,-1,46,12
14,Martin Kaymer,4,-1,60,15
15,Tyrrell Hatton,4,-1,67,17
16,Vijay Singh,4,-1,71,18
17,Patrick Reed,4,0,0,0
18,Rory McIlroy,4,0,0,0
19,Rickie Fowler,4,0,0,0
20,Jon Rahm,4,0,0,0
21,Henrik Stenson,4,0,0,0
22,Tommy Fleetwood,4,0,0,0
23,Marc Leishman,4,0,0,0
24,Bubba Watson,4,0,0,0
25,Justin Thomas,4,0,0,0
26,Jordan Spieth,4,0,0,0
27,Dustin Johnson,4,0,0,0
28,Louis Oosthuizen,4,0,4,1
29,Cameron Smith,4,0,0,0
30,Justin Rose,4,0,4,1
31,Jimmy Walker,4,0,9,2
32,Jason Day,4,0,9,2
33,Matt Kuchar,4,0,9,2
34,Matthew Fitzpatrick,4,0,16,4
35,Si Woo Kim,4,0,16,4
36,Hao-Tong Li,4,0,27,7
37,Zach Johnson,4,0,40,10
38,Ryan Moore,4,0,36,9
39,Fred Couples,4,0,44,11
40,Tiger Woods,4,0,47,12
41,Xander Schauffele,4,0,56,14
42,Kiradech Aphibarnrat,4,0,56,14
43,Bernd Wiesberger,4,1,10,2
44,Adam Hadwin,4,1,28,7
45,Satoshi Kodaira,4,1,28,7
46,Bryson DeChambeau,4,1,53,13
47,Francesco Molinari,4,2,25,6
48,Kevin Kisner,4,2,25,6
49,Jhonattan Vegas,4,2,38,9
50,Daniel Berger,4,3,35,8
51,Kyle Stanley,4,3,59,14
52,Doug Ghim,4,3,67,16
53,Chez Reavie,4,4,76,18
